feature,importance
production_lag_1,0.63096595
production_rolling_mean_3,0.1874536
production_lag_2,0.04355324
Source_Wind,0.014909248
Source_Solar,0.014093891
hour_cos,0.013104521
Start_Hour,0.0106817195
End_Hour,0.008952441
Season_Summer,0.0073134527
Month,0.0062218844
hour_sin,0.006077937
day_of_year_cos,0.0060474793
Year,0.004193653
Season_Winter,0.0036694556
Week_of_Year,0.0031137466
Month_Name_June,0.0028814764
Month_Name_May,0.0022218553
Month_Name_July,0.0021762226
Day_of_Year,0.0019341307
day_of_year_sin,0.0019141153
is_weekend,0.0017740555
production_rolling_mean_24,0.0017314906
Month_Name_August,0.0016302719
Month_Name_April,0.001600569
Month_Name_September,0.0015778946
production_rolling_mean_168,0.001514779
Day_Name_Sunday,0.0014872316
Month_Name_March,0.0013918936
Season_Spring,0.0013554412
Month_Name_February,0.0013003969
production_lag_24,0.0012254734
Season_Fall,0.0012106274
Day_Name_Wednesday,0.0011832042
Day_Name_Tuesday,0.0011663573
Day,0.001120263
Month_Name_December,0.0009799727
production_lag_168,0.0009775219
Day_Name_Thursday,0.0009555643
Day_Name_Saturday,0.0008382112
Month_Name_October,0.0007630274
Month_Name_November,0.00073018565
Day_Name_Monday,0.00070912094
Day_Name_Friday,0.00067933474
Month_Name_January,0.00061712216
